"year"	"month"	"day"	"obs"	"sim"	"alt"	"code"	"lat"	"long"
1998	8	17	5.5	8.1178656	386	1200570	39.839444	-7.4786944
1998	8	18	5.8	9.0723476	386	1200570	39.839444	-7.4786944
1998	8	19	5	8.6254492	386	1200570	39.839444	-7.4786944
1998	8	20	3.9	5.9889956	386	1200570	39.839444	-7.4786944
1998	8	21	4.6	8.1076555	386	1200570	39.839444	-7.4786944
1998	8	22	5.7	7.2869911	386	1200570	39.839444	-7.4786944
1998	8	23	5.1	8.3560219	386	1200570	39.839444	-7.4786944
1998	8	24	5.1	6.6138668	386	1200570	39.839444	-7.4786944
1998	8	25	6	6.1463752	386	1200570	39.839444	-7.4786944
1998	8	26	5.6	7.3089585	386	1200570	39.839444	-7.4786944
1998	8	27	5.7	8.6056252	386	1200570	39.839444	-7.4786944
1998	8	28	4.2	7.4564495	386	1200570	39.839444	-7.4786944
1998	8	29	4.4	6.6560264	386	1200570	39.839444	-7.4786944
1998	8	30	4.5	6.5530176	386	1200570	39.839444	-7.4786944
1998	8	31	5.1	10.09088	386	1200570	39.839444	-7.4786944
1998	9	1	5.8	7.6997313	386	1200570	39.839444	-7.4786944
1998	9	2	6.9	7.1992555	386	1200570	39.839444	-7.4786944
1998	9	3	6.1	8.0796375	386	1200570	39.839444	-7.4786944
1998	9	4	7.7	7.7064862	386	1200570	39.839444	-7.4786944
1998	9	5	4.8	6.2324929	386	1200570	39.839444	-7.4786944
1998	9	6	6.4	7.4008598	386	1200570	39.839444	-7.4786944
1998	9	7	8	8.1327143	386	1200570	39.839444	-7.4786944
1998	9	8	4.6	6.2521544	386	1200570	39.839444	-7.4786944
1998	9	9	7.8	8.4196568	386	1200570	39.839444	-7.4786944
1998	9	10	7.2	9.7528324	386	1200570	39.839444	-7.4786944
1998	9	11	10.5	8.9848099	386	1200570	39.839444	-7.4786944
1998	9	12	7	8.6876554	386	1200570	39.839444	-7.4786944
1998	9	13	9.8	8.9464874	386	1200570	39.839444	-7.4786944
1998	9	14	6.7	7.2663798	386	1200570	39.839444	-7.4786944
1998	9	15	6.3	5.4993238	386	1200570	39.839444	-7.4786944
1998	9	16	4.4	5.7663016	386	1200570	39.839444	-7.4786944
1998	9	17	4.3	5.6929331	386	1200570	39.839444	-7.4786944
1998	9	18	5.9	4.8339849	386	1200570	39.839444	-7.4786944
1998	9	19	5.9	6.3540154	386	1200570	39.839444	-7.4786944
1998	9	20	6.3	7.7552476	386	1200570	39.839444	-7.4786944
1998	9	21	4.5	4.4891396	386	1200570	39.839444	-7.4786944
1998	9	22	5.6	5.1774411	386	1200570	39.839444	-7.4786944
1998	9	23	6	6.2460117	386	1200570	39.839444	-7.4786944
1998	9	24	9	7.1588683	386	1200570	39.839444	-7.4786944
1998	9	25	9.9	10.822729	386	1200570	39.839444	-7.4786944
1998	9	26	8.2	10.206626	386	1200570	39.839444	-7.4786944
1998	9	27	5.3	5.2914128	386	1200570	39.839444	-7.4786944
1998	9	28	8.1	8.3634701	386	1200570	39.839444	-7.4786944
1998	9	29	9.3	10.984954	386	1200570	39.839444	-7.4786944
1998	9	30	8.2	8.6894436	386	1200570	39.839444	-7.4786944
1998	10	1	7	9.1106501	386	1200570	39.839444	-7.4786944
1998	10	2	3.9	5.3440351	386	1200570	39.839444	-7.4786944
1998	10	3	6.1	5.8060684	386	1200570	39.839444	-7.4786944
1998	10	4	9	9.1925974	386	1200570	39.839444	-7.4786944
1998	10	5	8.4	8.940712	386	1200570	39.839444	-7.4786944
1998	10	6	8.3	9.1705217	386	1200570	39.839444	-7.4786944
1998	10	7	5.7	7.3961492	386	1200570	39.839444	-7.4786944
1998	10	8	7.6	6.9674935	386	1200570	39.839444	-7.4786944
1998	10	9	7.1	6.360611	386	1200570	39.839444	-7.4786944
1998	10	10	5.5	6.7510195	386	1200570	39.839444	-7.4786944
1998	10	11	4.6	4.3024049	386	1200570	39.839444	-7.4786944
1998	10	12	4.2	4.2760844	386	1200570	39.839444	-7.4786944
1998	10	13	3.9	5.1721325	386	1200570	39.839444	-7.4786944
1998	10	14	4.4	4.7778158	386	1200570	39.839444	-7.4786944
1998	10	15	3.8	3.8349354	386	1200570	39.839444	-7.4786944
1998	10	16	3.9	4.4820724	386	1200570	39.839444	-7.4786944
1998	10	17	5.2	4.3193073	386	1200570	39.839444	-7.4786944
1998	10	18	9.5	7.5156202	386	1200570	39.839444	-7.4786944
